Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
,,,,,,,,,,,
2025-26,Shai Gilgeous-Alexander,27,OKC,739,Star,Shot Creator,Helper,4.84,8.67,6.45,2.22
2025-26,Nikola Jokić,30,DEN,732,Star,Post Scorer,Anchor Big,4.55,7.99,7.32,0.67
2025-26,Luka Dončić,26,LAL,591,Star,Shot Creator,Helper,3.31,6.8,6.42,0.38
2025-26,Karl-Anthony Towns,30,NYK,707,Star,Versatile Big,Mobile Big,2.83,3.98,3.01,0.97
2025-26,Mikal Bridges,29,NYK,736,Starter,Movement Shooter,Point of Attack,2.72,3.46,1.85,1.62
2025-26,Cade Cunningham,24,DET,697,Star,Shot Creator,Chaser,2.71,3.79,3.2,0.59
2025-26,Tyrese Maxey,25,PHI,802,Star,Shot Creator,Chaser,2.61,2.75,3.25,-0.5
2025-26,Franz Wagner,24,ORL,760,Star,Shot Creator,Wing Stopper,2.57,2.96,2.29,0.67
2025-26,Alperen Sengun,23,HOU,682,Star,Shot Creator,Helper,2.45,3.32,2.23,1.09
2025-26,Austin Reaves,27,LAL,622,Star,Shot Creator,Chaser,2.43,3.82,4.02,-0.2
2025-26,Donovan Mitchell,29,CLE,721,Star,Shot Creator,Helper,2.42,2.91,3.71,-0.8
2025-26,Derrick White,31,BOS,667,Star,Primary Ball Handler,Chaser,2.37,3.22,2.16,1.07
2025-26,James Harden,36,LAC,738,Star,Shot Creator,Chaser,2.36,2.65,3.9,-1.26
2025-26,Evan Mobley,24,CLE,750,Star,Stretch Big,Mobile Big,2.31,2.46,1.13,1.33
2025-26,Jalen Brunson,29,NYK,660,Star,Shot Creator,Low Activity,2.29,3.1,4.06,-0.96
2025-26,Jamal Murray,28,DEN,697,Star,Primary Ball Handler,Chaser,2.28,2.78,3.42,-0.65
2025-26,Deni Avdija,25,POR,755,Starter,Shot Creator,Helper,2.27,2.35,2.64,-0.29
2025-26,Scottie Barnes,24,TOR,739,Starter,Athletic Finisher,Wing Stopper,2.23,2.35,0.76,1.59
2025-26,Jaylen Brown,29,BOS,702,Star,Shot Creator,Helper,2.18,2.5,3.13,-0.64
2025-26,Julius Randle,31,MIN,703,Starter,Shot Creator,Helper,2.17,2.47,2.67,-0.2
2025-26,Devin Booker,29,PHO,763,Star,Shot Creator,Helper,2.16,2.06,2.13,-0.07
2025-26,Isaiah Hartenstein,27,OKC,528,Key Rotation,Athletic Finisher,Mobile Big,2.16,4.12,0.99,3.13
2025-26,Ajay Mitchell,23,OKC,588,Key Rotation,Slasher,Chaser,2.15,3.42,1.07,2.35
2025-26,Jalen Johnson,24,ATL,697,Starter,Shot Creator,Helper,2.1,2.36,1.61,0.75
2025-26,Chet Holmgren,23,OKC,532,Star,Stretch Big,Helper,2.08,3.84,1.01,2.83
2025-26,Jimmy Butler,36,GSW,617,Star,Shot Creator,Helper,2.05,2.86,2.42,0.44
2025-26,Giannis Antetokounmpo,31,MIL,495,Star,Shot Creator,Helper,1.96,3.89,4.44,-0.55
2025-26,Victor Wembanyama,22,SAS,416,Star,Shot Creator,Anchor Big,1.94,5.1,1.94,3.16
2025-26,Payton Pritchard,28,BOS,677,Starter,Shot Creator,Chaser,1.84,1.87,2.48,-0.61
2025-26,Desmond Bane,27,ORL,726,Starter,Primary Ball Handler,Chaser,1.81,1.51,1.27,0.24
2025-26,Josh Hart,30,NYK,584,Starter,Movement Shooter,Wing Stopper,1.79,2.43,1.08,1.35
2025-26,Anthony Edwards,24,MIN,580,Star,Shot Creator,Chaser,1.79,2.46,3.41,-0.95
2025-26,Amen Thompson,23,HOU,690,Starter,Shot Creator,Point of Attack,1.79,1.68,0.83,0.85
2025-26,Cason Wallace,22,OKC,599,Starter,Movement Shooter,Point of Attack,1.78,2.3,-0.48,2.78
2025-26,Kevin Durant,37,HOU,607,Starter,Shot Creator,Helper,1.74,2.1,1.56,0.54
2025-26,Immanuel Quickley,26,TOR,712,Starter,Primary Ball Handler,Point of Attack,1.67,1.29,0.91,0.37
2025-26,Collin Gillespie,26,PHO,589,Starter,Primary Ball Handler,Point of Attack,1.64,1.99,1.41,0.58
2025-26,Jalen Duren,22,DET,553,Starter,Shot Creator,Mobile Big,1.62,2.23,1.12,1.1
2025-26,Josh Giddey,23,CHI,649,Starter,Primary Ball Handler,Helper,1.5,1.22,1.63,-0.41
2025-26,Donte DiVincenzo,29,MIN,662,Starter,Off Screen Shooter,Chaser,1.48,1.1,0.96,0.13
2025-26,Donovan Clingan,21,POR,530,Key Rotation,Stretch Big,Anchor Big,1.45,1.91,0.78,1.13
2025-26,Stephen Curry,37,GSW,496,Star,Primary Ball Handler,Chaser,1.45,2.21,2.92,-0.7
2025-26,LaMelo Ball,24,CHO,451,Star,Primary Ball Handler,Point of Attack,1.42,2.57,3.13,-0.57
2025-26,Jabari Smith Jr.,22,HOU,599,Starter,Shot Creator,Helper,1.4,1.28,0.06,1.22
2025-26,Rudy Gobert,33,MIN,675,Starter,Athletic Finisher,Anchor Big,1.39,0.83,-0.93,1.76
2025-26,Kel'el Ware,21,MIA,538,Key Rotation,Athletic Finisher,Mobile Big,1.36,1.56,-0.38,1.94
2025-26,Anthony Black,22,ORL,609,Starter,Primary Ball Handler,Point of Attack,1.34,1.05,-0.07,1.12
2025-26,Onyeka Okongwu,25,ATL,674,Starter,Stretch Big,Mobile Big,1.32,0.66,-0.49,1.16
2025-26,Devin Vassell,25,SAS,689,Starter,Off Screen Shooter,Chaser,1.31,0.58,0.33,0.25
2025-26,Bam Adebayo,28,MIA,485,Star,Shot Creator,Mobile Big,1.3,1.83,0.81,1.01
2025-26,Neemias Queta,26,BOS,452,Starter,Athletic Finisher,Anchor Big,1.29,2.11,0.19,1.92
2025-26,Dyson Daniels,22,ATL,779,Starter,Slasher,Point of Attack,1.29,0.17,-1.17,1.34
2025-26,Paolo Banchero,23,ORL,393,Starter,Shot Creator,Wing Stopper,1.28,2.73,1.7,1.03
2025-26,Keldon Johnson,26,SAS,513,Key Rotation,Movement Shooter,Helper,1.27,1.5,1.21,0.29
2025-26,Jalen Suggs,24,ORL,418,Key Rotation,Primary Ball Handler,Point of Attack,1.27,2.4,1.25,1.15
2025-26,Naz Reid,26,MIN,530,Key Rotation,Movement Shooter,Helper,1.26,1.33,0.24,1.09
2025-26,Mark Williams,24,PHO,457,Key Rotation,Athletic Finisher,Anchor Big,1.24,1.85,-0.07,1.93
2025-26,Santi Aldama,25,MEM,572,Starter,Movement Shooter,Helper,1.23,0.96,0.06,0.91
2025-26,Royce O'Neale,32,PHO,665,Starter,Movement Shooter,Helper,1.22,0.47,-0.68,1.15
2025-26,Wendell Carter Jr.,26,ORL,620,Starter,Stretch Big,Mobile Big,1.22,0.68,-0.47,1.15
2025-26,Julian Champagnie,24,SAS,599,Key Rotation,Movement Shooter,Helper,1.21,0.75,-0.23,0.98
2025-26,Moussa Diabate,24,CHO,500,Key Rotation,Athletic Finisher,Mobile Big,1.2,1.36,0.17,1.19
2025-26,Reed Sheppard,21,HOU,481,Starter,Primary Ball Handler,Chaser,1.19,1.47,0.54,0.94
2025-26,Davion Mitchell,27,MIA,664,Starter,Shot Creator,Point of Attack,1.18,0.38,-0.38,0.76
2025-26,Kawhi Leonard,34,LAC,378,Star,Shot Creator,Wing Stopper,1.18,2.53,2.42,0.11
2025-26,Myles Turner,29,MIL,670,Starter,Movement Shooter,Mobile Big,1.17,0.33,-0.86,1.19
2025-26,De'Aaron Fox,28,SAS,428,Star,Shot Creator,Point of Attack,1.16,1.88,2.59,-0.71
2025-26,Miles Bridges,27,CHO,764,Starter,Shot Creator,Helper,1.16,-0.03,1.06,-1.09
2025-26,Goga Bitadze,26,ORL,356,Rotation,Athletic Finisher,Mobile Big,1.16,2.74,-0.15,2.88
2025-26,Duncan Robinson,31,DET,641,Starter,Off Screen Shooter,Low Activity,1.16,0.43,-0.11,0.54
2025-26,Ausar Thompson,23,DET,507,Starter,Athletic Finisher,Point of Attack,1.16,1.18,-0.53,1.71
2025-26,Brandon Ingram,28,TOR,747,Starter,Shot Creator,Helper,1.13,-0.05,-0.11,0.06
2025-26,Ivica Zubac,28,LAC,713,Starter,Post Scorer,Anchor Big,1.13,0.07,-0.13,0.2
2025-26,Stephon Castle,21,SAS,416,Starter,Primary Ball Handler,Point of Attack,1.13,1.88,1.31,0.57
2025-26,Lauri Markkanen,28,UTA,712,Starter,Off Screen Shooter,Wing Stopper,1.12,0.06,2.03,-1.97
2025-26,Peyton Watson,23,DEN,568,Key Rotation,Movement Shooter,Point of Attack,1.12,0.67,-0.3,0.97
2025-26,Norman Powell,32,MIA,521,Starter,Shot Creator,Chaser,1.11,0.94,1.27,-0.33
2025-26,Jaylin Williams,23,OKC,383,Rotation,Movement Shooter,Anchor Big,1.11,2.15,-0.01,2.16
2025-26,Michael Porter Jr.,27,BRK,591,Starter,Movement Shooter,Helper,1.05,0.37,1.83,-1.46
2025-26,Jaime Jaquez Jr.,24,MIA,608,Key Rotation,Shot Creator,Helper,1.05,0.3,0.07,0.23
2025-26,Jerami Grant,31,POR,618,Starter,Movement Shooter,Helper,1.04,0.23,0.66,-0.43
2025-26,Isaiah Joe,26,OKC,397,Key Rotation,Movement Shooter,Low Activity,1.03,1.7,1.42,0.27
2025-26,Kristaps Porziņģis,30,ATL,316,Key Rotation,Versatile Big,Mobile Big,1.03,2.75,2.46,0.29
2025-26,Nickeil Alexander-Walker,27,ATL,687,Starter,Primary Ball Handler,Point of Attack,1.02,-0.09,0.31,-0.4
2025-26,Deandre Ayton,27,LAL,529,Starter,Athletic Finisher,Anchor Big,1.0,0.56,-0.38,0.94
2025-26,Ryan Rollins,23,MIL,751,Starter,Primary Ball Handler,Point of Attack,1.0,-0.32,0.26,-0.58
2025-26,Harrison Barnes,33,SAS,651,Starter,Movement Shooter,Wing Stopper,1.0,0.0,-0.05,0.05
2025-26,Grayson Allen,30,PHO,443,Starter,Primary Ball Handler,Chaser,0.99,1.1,1.17,-0.08
2025-26,Brandin Podziemski,22,GSW,623,Starter,Primary Ball Handler,Chaser,0.99,0.07,-0.96,1.03
2025-26,Jrue Holiday,35,POR,401,Starter,Shot Creator,Wing Stopper,0.99,1.48,1.41,0.07
2025-26,RJ Barrett,25,TOR,526,Starter,Movement Shooter,Helper,0.97,0.48,0.73,-0.25
2025-26,Miles McBride,25,NYK,496,Key Rotation,Movement Shooter,Point of Attack,0.95,0.6,0.55,0.05
2025-26,Pascal Siakam,31,IND,720,Starter,Shot Creator,Helper,0.94,-0.38,0.8,-1.18
2025-26,De'Andre Hunter,28,CLE,551,Starter,Movement Shooter,Wing Stopper,0.94,0.26,0.64,-0.38
2025-26,Tristan da Silva,24,ORL,520,Key Rotation,Movement Shooter,Helper,0.94,0.44,0.07,0.37
2025-26,Jarrett Allen,27,CLE,392,Key Rotation,Athletic Finisher,Mobile Big,0.92,1.29,0.32,0.97
2025-26,Isaiah Stewart,24,DET,425,Key Rotation,Stretch Big,Mobile Big,0.92,1.0,-1.2,2.2
2025-26,Nic Claxton,26,BRK,636,Starter,Shot Creator,Mobile Big,0.9,-0.21,-0.3,0.09
2025-26,OG Anunoby,28,NYK,373,Starter,Movement Shooter,Wing Stopper,0.89,1.34,0.4,0.95
2025-26,Cam Spencer,25,MEM,449,Key Rotation,Secondary Ball Handler,Low Activity,0.88,0.66,0.68,-0.02
2025-26,Trey Murphy III,25,NOP,716,Starter,Movement Shooter,Helper,0.87,-0.52,0.5,-1.02
2025-26,Jamal Shead,23,TOR,417,Key Rotation,Primary Ball Handler,Point of Attack,0.86,0.84,0.2,0.64
2025-26,Jake LaRavia,24,LAL,513,Key Rotation,Movement Shooter,Helper,0.85,0.19,-0.4,0.59
2025-26,Vince Williams Jr.,25,MEM,387,Key Rotation,Primary Ball Handler,Wing Stopper,0.85,1.05,0.04,1.02
2025-26,Jaylon Tyson,23,CLE,486,Starter,Movement Shooter,Chaser,0.85,0.32,-0.11,0.43
2025-26,Tim Hardaway Jr.,33,DEN,518,Key Rotation,Off Screen Shooter,Chaser,0.85,0.14,1.17,-1.03
2025-26,Dillon Brooks,30,PHO,502,Starter,Shot Creator,Wing Stopper,0.83,0.18,0.64,-0.46
2025-26,Shaedon Sharpe,22,POR,506,Starter,Primary Ball Handler,Helper,0.82,0.12,0.98,-0.87
2025-26,Jaden McDaniels,25,MIN,636,Starter,Movement Shooter,Point of Attack,0.81,-0.41,-1.13,0.72
2025-26,Aaron Gordon,30,DEN,368,Starter,Shot Creator,Wing Stopper,0.81,1.04,1.6,-0.56
2025-26,Luke Kornet,30,SAS,349,Key Rotation,Athletic Finisher,Anchor Big,0.8,1.19,-0.35,1.54
2025-26,Anfernee Simons,26,BOS,504,Starter,Shot Creator,Chaser,0.8,0.06,1.07,-1.01
2025-26,Jordan Goodwin,27,PHO,384,Rotation,Movement Shooter,Chaser,0.79,0.83,0.37,0.46
2025-26,Andrew Wiggins,30,MIA,629,Starter,Shot Creator,Helper,0.79,-0.45,-0.75,0.3
2025-26,Nikola Vučević,35,CHI,619,Starter,Versatile Big,Mobile Big,0.78,-0.46,0.27,-0.73
2025-26,Andre Drummond,32,PHI,421,Rotation,Athletic Finisher,Mobile Big,0.77,0.44,-1.01,1.45
2025-26,Brandon Williams,26,DAL,450,Key Rotation,Primary Ball Handler,Point of Attack,0.76,0.25,-0.08,0.33
2025-26,Dean Wade,29,CLE,461,Key Rotation,Movement Shooter,Wing Stopper,0.74,0.11,-1.11,1.22
2025-26,Luguentz Dort,26,OKC,437,Starter,Movement Shooter,Point of Attack,0.73,0.2,-0.86,1.06
2025-26,Cameron Johnson,29,DEN,587,Starter,Movement Shooter,Helper,0.73,-0.47,0.1,-0.57
2025-26,Ryan Dunn,23,PHO,405,Key Rotation,Movement Shooter,Point of Attack,0.73,0.4,-0.7,1.1
2025-26,Lonzo Ball,28,CLE,401,Key Rotation,Primary Ball Handler,Chaser,0.72,0.4,-0.21,0.62
2025-26,Naji Marshall,28,DAL,632,Starter,Movement Shooter,Wing Stopper,0.72,-0.65,-1.11,0.46
2025-26,Cedric Coward,22,MEM,598,Starter,Movement Shooter,Wing Stopper,0.72,-0.53,-0.91,0.38
2025-26,Dru Smith,28,MIA,375,Rotation,Shot Creator,Point of Attack,0.71,0.55,-0.36,0.91
2025-26,Josh Minott,23,BOS,384,Rotation,Movement Shooter,Helper,0.71,0.5,-0.16,0.67
2025-26,Ja Morant,26,MEM,345,Starter,Shot Creator,Chaser,0.7,0.79,1.08,-0.28
2025-26,Derik Queen,21,NOP,534,Key Rotation,Shot Creator,Anchor Big,0.7,-0.37,-0.36,-0.01
2025-26,Alex Caruso,31,OKC,282,Rotation,Movement Shooter,Wing Stopper,0.69,1.45,0.07,1.38
2025-26,Sandro Mamukelashvili,26,TOR,398,Key Rotation,Stretch Big,Mobile Big,0.69,0.3,0.14,0.16
2025-26,Jay Huff,27,IND,392,Rotation,Movement Shooter,Mobile Big,0.68,0.3,-1.43,1.73
2025-26,Ryan Kalkbrenner,24,CHO,512,Starter,Athletic Finisher,Anchor Big,0.68,-0.33,-2.09,1.76
2025-26,Draymond Green,35,GSW,553,Starter,Movement Shooter,Helper,0.68,-0.49,-1.94,1.45
2025-26,Collin Sexton,27,CHO,530,Key Rotation,Primary Ball Handler,Point of Attack,0.67,-0.43,0.42,-0.85
2025-26,Moses Moody,23,GSW,510,Key Rotation,Off Screen Shooter,Point of Attack,0.67,-0.37,-0.79,0.42
2025-26,Keyonte George,22,UTA,681,Starter,Shot Creator,Point of Attack,0.67,-0.89,0.91,-1.81
2025-26,Tre Jones,26,CHI,486,Starter,Slasher,Point of Attack,0.66,-0.28,-0.4,0.12
2025-26,Kyle Kuzma,30,MIL,564,Key Rotation,Athletic Finisher,Wing Stopper,0.65,-0.61,-0.73,0.12
2025-26,Jaren Jackson Jr.,26,MEM,591,Star,Shot Creator,Helper,0.64,-0.74,-1.49,0.75
2025-26,P.J. Washington,27,DAL,602,Starter,Movement Shooter,Wing Stopper,0.64,-0.76,-1.6,0.84
2025-26,Quentin Grimes,25,PHI,628,Starter,Shot Creator,Chaser,0.64,-0.83,-0.39,-0.44
2025-26,Sam Hauser,28,BOS,465,Key Rotation,Off Screen Shooter,Helper,0.64,-0.26,-0.2,-0.06
2025-26,Zaccharie Risacher,20,ATL,503,Key Rotation,Movement Shooter,Helper,0.64,-0.43,-0.79,0.37
2025-26,Steven Adams,32,HOU,341,Key Rotation,Athletic Finisher,Anchor Big,0.64,0.55,0.27,0.28
2025-26,Pelle Larsson,24,MIA,496,Key Rotation,Movement Shooter,Chaser,0.63,-0.42,-0.64,0.22
2025-26,Ronald Holland II,20,DET,467,Key Rotation,Movement Shooter,Point of Attack,0.63,-0.31,-1.7,1.39
2025-26,Anthony Davis,32,DAL,238,Star,Shot Creator,Anchor Big,0.62,1.67,0.84,0.83
2025-26,Zion Williamson,25,NOP,309,Star,Shot Creator,Helper,0.61,0.68,1.01,-0.33
2025-26,Cooper Flagg,19,DAL,743,Starter,Shot Creator,Helper,0.61,-1.15,-1.56,0.4
2025-26,Jonas Valančiūnas,33,DEN,262,Rotation,Post Scorer,Anchor Big,0.61,1.23,1.1,0.13
2025-26,Marcus Smart,31,LAL,375,Key Rotation,Primary Ball Handler,Point of Attack,0.61,0.12,-0.52,0.64
2025-26,Jusuf Nurkić,31,UTA,491,Starter,Roll + Cut Big,Mobile Big,0.61,-0.47,-2.19,1.71
2025-26,Craig Porter Jr.,25,CLE,339,Rotation,Secondary Ball Handler,Point of Attack,0.6,0.37,-0.73,1.1
2025-26,Javonte Green,32,DET,423,Rotation,Movement Shooter,Helper,0.59,-0.24,-1.54,1.31
2025-26,Saddiq Bey,26,NOP,601,Starter,Shot Creator,Helper,0.59,-0.89,0.48,-1.37
2025-26,Toumani Camara,25,POR,750,Starter,Movement Shooter,Point of Attack,0.59,-1.21,-0.93,-0.27
2025-26,Alex Sarr,20,WAS,475,Starter,Athletic Finisher,Mobile Big,0.59,-0.47,-0.17,-0.3
2025-26,Quinten Post,25,GSW,354,Rotation,Movement Shooter,Mobile Big,0.59,0.22,-0.75,0.97
2025-26,Tobias Harris,33,DET,385,Starter,Versatile Big,Wing Stopper,0.59,-0.01,0.19,-0.2
2025-26,Jalen Smith,25,CHI,307,Rotation,Stretch Big,Mobile Big,0.58,0.55,0.64,-0.09
2025-26,Zach Edey,23,MEM,233,Key Rotation,Post Scorer,Anchor Big,0.58,1.55,-0.46,2.0
2025-26,Bruce Brown,29,DEN,488,Key Rotation,Athletic Finisher,Point of Attack,0.57,-0.59,-0.8,0.21
2025-26,Kon Knueppel,20,CHO,737,Starter,Movement Shooter,Chaser,0.57,-1.22,-0.17,-1.04
