nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2026,LAL,SF,33.15,2.491,2.095,0.396,6.154,Shot Creator,Helper
101108,Chris Paul,2026,LAC,PG,14.221,-1.196,-1.015,-0.181,0.18,Primary Ball Handler,Chaser
200768,Kyle Lowry,2026,PHI,PG,8.43,-1.613,-0.834,-0.779,0.063,Movement Shooter,Chaser
201142,Kevin Durant,2026,HOU,SF,36.404,2.377,2.519,-0.142,8.586,Shot Creator,Helper
201143,Al Horford,2026,GSW,C,21.534,0.952,-0.187,1.139,2.072,Versatile Big,Mobile Big
201144,Mike Conley,2026,MIN,PG,18.355,-0.753,-0.913,0.159,1.06,Primary Ball Handler,Point of Attack
201145,Jeff Green,2026,HOU,PF,5.827,-2.396,-1.016,-1.38,0.008,Versatile Big,Helper
201566,Russell Westbrook,2026,SAC,SF,28.945,-0.791,-0.146,-0.645,1.937,Shot Creator,Wing Stopper
201567,Kevin Love,2026,UTA,PF,16.56,-0.142,0.335,-0.477,0.89,Movement Shooter,Helper
201569,Eric Gordon,2026,PHI,SG,12.292,-1.466,-0.695,-0.771,0.046,Low Minute,Chaser
201572,Brook Lopez,2026,LAC,C,21.802,-0.105,-1.182,1.077,2.413,Versatile Big,Mobile Big
201587,Nicolas Batum,2026,LAC,PF,17.492,-2.328,-2.151,-0.177,0.116,Stationary Shooter,Helper
201599,Deandre Jordan,2026,NOP,C,16.567,-0.964,-1.468,0.505,0.186,Roll + Cut Big,Anchor Big
201935,James Harden,2026,LAC/CLE,PG,34.835,2.107,3.304,-1.197,6.967,Shot Creator,Helper
201939,Stephen Curry,2026,GSW,PG,30.897,3.143,4.294,-1.15,4.639,Primary Ball Handler,Low Activity
201942,Demar Derozan,2026,SAC,PF,31.239,-1.154,0.113,-1.267,1.968,Shot Creator,Low Activity
201950,Jrue Holiday,2026,POR,PG,29.44,1.49,0.806,0.684,3.861,Shot Creator,Helper
201959,Taj Gibson,2026,MEM,C,9.687,-1.129,-0.827,-0.302,0.081,Low Minute,Helper
202066,Garrett Temple,2026,TOR,SG,3.316,-1.418,-1.054,-0.364,0.048,Low Minute,Chaser
202331,Paul George,2026,PHI,PF,30.675,1.746,1.277,0.469,2.989,Shot Creator,Helper
202685,Jonas Valanciunas,2026,DEN,C,13.4,-0.288,0.167,-0.455,1.185,Post Scorer,Anchor Big
202687,Bismack Biyombo,2026,SAS,C,5.653,-2.994,-2.596,-0.398,-0.045,Athletic Finisher,Anchor Big
202691,Klay Thompson,2026,DAL,SF,21.69,-2.461,-0.445,-2.016,0.011,Off Screen Shooter,Helper
202695,Kawhi Leonard,2026,LAC,SF,32.072,5.041,4.835,0.205,9.616,Shot Creator,Helper
202696,Nikola Vucevic,2026,CHI/BOS,C,28.407,0.593,0.368,0.225,3.48,Versatile Big,Mobile Big
202699,Tobias Harris,2026,DET,PF,27.703,1.552,1.026,0.526,4.386,Movement Shooter,Wing Stopper
202710,Jimmy Butler Iii,2026,GSW,SF,31.096,3.115,2.85,0.264,4.106,Shot Creator,Wing Stopper
203076,Anthony Davis,2026,DAL,PF,31.28,1.602,0.647,0.955,1.592,Shot Creator,Mobile Big
203078,Bradley Beal,2026,LAC,SG,20.153,-1.224,-0.59,-0.634,0.094,Secondary Ball Handler,Chaser
203083,Andre Drummond,2026,PHI,C,19.534,-0.2,-0.415,0.216,1.743,Roll + Cut Big,Anchor Big
203084,Harrison Barnes,2026,SAS,PF,25.797,0.092,0.274,-0.182,3.177,Movement Shooter,Helper
203110,Draymond Green,2026,GSW,PF,27.481,-0.75,-2.015,1.265,2.002,Stationary Shooter,Helper
203114,Khris Middleton,2026,WAS/DAL,SF,22.842,-1.359,-0.504,-0.855,0.993,Shot Creator,Helper
203468,Cj Mccollum,2026,WAS/ATL,PG,29.777,-0.306,0.855,-1.161,3.054,Primary Ball Handler,Chaser
203471,Dennis Schroder,2026,SAC/CLE,PG,24.231,-0.924,0.121,-1.045,1.632,Primary Ball Handler,Point of Attack
203482,Kelly Olynyk,2026,SAS,C,8.576,-1.054,-0.753,-0.301,0.317,Stretch Big,Helper
203484,Kentavious Caldwell-Pope,2026,MEM,SG,21.321,-1.34,-0.97,-0.37,0.763,Secondary Ball Handler,Chaser
203486,Mason Plumlee,2026,CHO/SAS,C,8.572,-1.045,-1.193,0.148,0.152,Roll + Cut Big,Anchor Big
203497,Rudy Gobert,2026,MIN,C,31.313,1.822,-0.603,2.425,6.38,Roll + Cut Big,Anchor Big
203500,Steven Adams,2026,HOU,C,22.82,-0.672,-0.545,-0.127,0.818,Roll + Cut Big,Anchor Big
203501,Tim Hardaway Jr.,2026,DEN,SG,26.588,-1.112,0.705,-1.817,1.796,Off Screen Shooter,Chaser
203507,Giannis Antetokounmpo,2026,MIL,PF,28.866,5.133,5.496,-0.363,4.848,Shot Creator,Wing Stopper
203552,Seth Curry,2026,GSW,SG,13.295,-0.643,-0.327,-0.316,0.151,Movement Shooter,Chaser
203648,Thanasis Antetokounmpo,2026,MIL,SF,4.351,0.625,-0.553,1.178,0.286,Athletic Finisher,Helper
203897,Zach Lavine,2026,SAC,SG,31.389,-1.721,-0.261,-1.46,0.569,Shot Creator,Chaser
203903,Jordan Clarkson,2026,NYK,SG,17.768,-1.794,-0.278,-1.516,0.537,Movement Shooter,Chaser
203914,Gary Harris,2026,MIL,SG,13.764,-2.993,-3.466,0.473,-0.209,Stationary Shooter,Chaser
203924,Jerami Grant,2026,POR,PF,29.738,-0.346,0.431,-0.776,2.245,Shot Creator,Wing Stopper
203926,Doug Mcdermott,2026,SAC,SF,15.144,-2.126,-0.833,-1.293,0.094,Off Screen Shooter,Low Activity
203932,Aaron Gordon,2026,DEN,PF,27.913,0.61,1.384,-0.774,1.934,Shot Creator,Wing Stopper
203935,Marcus Smart,2026,LAL,SG,28.529,0.549,-0.823,1.373,3.337,Movement Shooter,Point of Attack
203937,Kyle Anderson,2026,UTA/MEM/MIN,SF,19.841,-0.909,-1.496,0.587,0.829,Shot Creator,Helper
203939,Dwight Powell,2026,DAL,C,14.353,-0.778,-2.031,1.253,0.953,Roll + Cut Big,Mobile Big
203944,Julius Randle,2026,MIN,PF,33.041,0.257,1.499,-1.242,4.445,Shot Creator,Helper
203952,Andrew Wiggins,2026,MIA,SF,30.331,0.409,-0.561,0.97,3.709,Shot Creator,Wing Stopper
203954,Joel Embiid,2026,PHI,C,31.593,1.736,2.452,-0.716,3.154,Shot Creator,Anchor Big
203967,Dario Saric,2026,SAC,C,8.247,-0.756,-0.785,0.029,0.044,Low Minute,Helper
203991,Clint Capela,2026,HOU,C,12.338,-0.302,-1.218,0.916,1.251,Roll + Cut Big,Mobile Big
203992,Bogdan Bogdanovic,2026,LAC,SG,19.65,-1.799,-0.957,-0.842,0.188,Secondary Ball Handler,Chaser
203994,Jusuf Nurkic,2026,UTA,C,26.415,0.864,-1.157,2.021,2.257,Roll + Cut Big,Mobile Big
203999,Nikola Jokic,2026,DEN,C,34.842,7.367,6.247,1.12,13.33,Shot Creator,Anchor Big
204001,Kristaps Porzingis,2026,ATL/GSW,C,24.024,2.679,2.174,0.505,2.467,Versatile Big,Mobile Big
204060,Joe Ingles,2026,MIN,SF,5.653,-1.504,-0.739,-0.765,0.092,Secondary Ball Handler,Helper
204456,T.J. Mcconnell,2026,IND,PG,17.186,0.168,0.302,-0.135,1.585,Slasher,Chaser
1626145,Tyus Jones,2026,ORL/DAL/DEN,PG,14.602,-0.85,-0.443,-0.407,0.987,Primary Ball Handler,Point of Attack
1626156,D'Angelo Russell,2026,DAL,PG,19.027,-1.277,0.201,-1.477,0.367,Primary Ball Handler,Chaser
1626157,Karl-Anthony Towns,2026,NYK,C,30.953,3.044,2.152,0.893,7.966,Versatile Big,Mobile Big
1626162,Kelly Oubre Jr.,2026,PHI,SF,31.484,-2.405,-1.059,-1.346,0.066,Shot Creator,Wing Stopper
1626164,Devin Booker,2026,PHO,SG,33.534,2.489,2.85,-0.361,6.637,Shot Creator,Helper
1626166,Cameron Payne,2026,PHI,PG,17.015,-0.015,0.173,-0.187,0.574,Primary Ball Handler,Chaser
1626167,Myles Turner,2026,MIL,C,26.925,0.072,-1.079,1.152,3.034,Stretch Big,Mobile Big
1626171,Bobby Portis,2026,MIL,PF,24.167,-2.306,-0.446,-1.861,0.167,Versatile Big,Helper
1626172,Kevon Looney,2026,NOP,C,14.641,-0.448,-0.986,0.538,0.388,Athletic Finisher,Mobile Big
1626181,Norman Powell,2026,MIA,SG,29.601,0.582,0.908,-0.327,3.273,Shot Creator,Chaser
1626192,Pat Connaughton,2026,CHO,SG,7.06,-0.993,-0.824,-0.169,0.273,Movement Shooter,Helper
1626204,Larry Nance Jr.,2026,CLE,PF,12.821,-1.402,-1.678,0.276,0.298,Stretch Big,Mobile Big
1626220,Royce O'Neale,2026,PHO,SF,28.368,-2.125,-2.119,-0.006,0.475,Movement Shooter,Wing Stopper
1627734,Domantas Sabonis,2026,SAC,C,29.662,1.147,0.639,0.507,1.274,Roll + Cut Big,Mobile Big
1627739,Kris Dunn,2026,LAC,PG,27.174,0.452,-1.281,1.733,4.067,Primary Ball Handler,Point of Attack
1627741,Buddy Hield,2026,GSW/ATL,SG,16.061,-1.33,-0.617,-0.713,0.58,Movement Shooter,Point of Attack
1627742,Brandon Ingram,2026,TOR,SF,33.815,-0.663,0.178,-0.841,2.931,Shot Creator,Helper
1627746,Skal Labissiere,2026,WAS,PF,12.517,-0.493,-0.194,-0.299,0.046,Low Minute,Mobile Big
1627747,Caris Levert,2026,DET,SG,19.239,-1.475,-1.39,-0.085,0.713,Secondary Ball Handler,Chaser
1627749,Dejounte Murray,2026,NOP,PG,27.815,1.561,0.998,0.563,0.981,Shot Creator,Point of Attack
1627750,Jamal Murray,2026,DEN,PG,35.356,1.389,3.171,-1.782,6.394,Shot Creator,Chaser
1627751,Jakob Poeltl,2026,TOR,C,24.977,-0.18,-1.097,0.917,1.641,Roll + Cut Big,Mobile Big
1627752,Taurean Prince,2026,MIL,SF,23.51,-2.427,-1.652,-0.776,0.018,Movement Shooter,Helper
1627759,Jaylen Brown,2026,BOS,SF,34.404,1.515,1.865,-0.351,6.082,Shot Creator,Helper
1627780,Gary Payton Ii,2026,GSW,SG,15.643,1.664,1.308,0.356,2.949,Stretch Big,Chaser
1627783,Pascal Siakam,2026,IND,PF,33.17,0.951,1.685,-0.734,4.397,Shot Creator,Wing Stopper
1627824,Guerschon Yabusele,2026,NYK/CHI,C,15.029,-1.214,-0.762,-0.452,0.786,Stretch Big,Mobile Big
1627826,Ivica Zubac,2026,LAC/IND,C,30.136,-0.136,-0.274,0.138,2.107,Post Scorer,Anchor Big
1627827,Dorian Finney-Smith,2026,HOU,PF,16.761,-3.248,-2.775,-0.472,-0.292,Stationary Shooter,Wing Stopper
1627884,Derrick Jones Jr.,2026,LAC,SF,26.99,0.007,-0.781,0.788,2.086,Stationary Shooter,Point of Attack
1627936,Alex Caruso,2026,OKC,SG,18.216,2.297,0.166,2.132,3.035,Stationary Shooter,Wing Stopper
1628365,Markelle Fultz,2026,TOR,PG,7.153,-1.598,-0.767,-0.831,0.019,Low Minute,Point of Attack
1628366,Lonzo Ball,2026,CLE,PG,20.789,-0.418,-0.976,0.558,0.931,Movement Shooter,Chaser
1628368,De'Aaron Fox,2026,SAS,PG,30.986,1.7,1.478,0.222,5.812,Shot Creator,Point of Attack
1628369,Jayson Tatum,2026,BOS,PF,32.612,3.887,3.047,0.841,2.055,Shot Creator,Wing Stopper
1628370,Malik Monk,2026,SAC,SG,21.993,-1.96,-0.028,-1.932,0.432,Secondary Ball Handler,Low Activity
1628371,Jonathan Isaac,2026,ORL,PF,10.013,0.169,-1.414,1.583,0.858,Stretch Big,Helper
1628374,Lauri Markkanen,2026,UTA,PF,34.346,2.234,2.327,-0.094,4.234,Off Screen Shooter,Wing Stopper
1628378,Donovan Mitchell,2026,CLE,SG,33.456,3.426,3.7,-0.274,8.578,Shot Creator,Helper
1628379,Luke Kennard,2026,ATL/LAL,SG,21.541,-2.908,-1.122,-1.786,-0.446,Off Screen Shooter,Chaser
1628380,Zach Collins,2026,CHI,C,18.373,-0.333,-0.306,-0.027,0.245,Stretch Big,Mobile Big
1628381,John Collins,2026,LAC,PF,27.121,-0.078,-0.455,0.376,2.793,Stationary Shooter,Helper
1628384,Og Anunoby,2026,NYK,PF,33.19,1.821,0.096,1.724,5.96,Stationary Shooter,Wing Stopper
1628386,Jarrett Allen,2026,CLE,C,27.124,2.134,0.939,1.195,4.365,Roll + Cut Big,Mobile Big
1628389,Bam Adebayo,2026,MIA,C,32.392,3.486,1.508,1.978,8.745,Shot Creator,Helper
1628392,Isaiah Hartenstein,2026,OKC,C,24.197,3.554,0.957,2.597,4.253,Roll + Cut Big,Mobile Big
1628396,Tony Bradley,2026,IND/ATL,C,10.991,-1.917,-1.366,-0.551,0.155,Roll + Cut Big,Mobile Big
1628398,Kyle Kuzma,2026,MIL,PF,26.168,-2.025,-0.768,-1.256,0.5,Movement Shooter,Wing Stopper
1628401,Derrick White,2026,BOS,SG,34.088,4.594,2.271,2.324,11.43,Primary Ball Handler,Chaser
1628404,Josh Hart,2026,NYK,SF,30.203,1.317,0.271,1.046,4.718,Stationary Shooter,Wing Stopper
1628415,Dillon Brooks,2026,PHO,SF,30.381,-0.116,-0.035,-0.082,2.499,Shot Creator,Wing Stopper
1628418,Thomas Bryant,2026,CLE,C,12.194,0.349,0.236,0.113,1.288,Stretch Big,Mobile Big
1628420,Monte Morris,2026,IND,PG,10.769,-0.754,-0.436,-0.318,0.069,Low Minute,Point of Attack
1628436,Luke Kornet,2026,SAS,C,21.027,0.875,-0.218,1.094,2.989,Roll + Cut Big,Anchor Big
1628449,Chris Boucher,2026,BOS,PF,10.459,-0.757,-0.768,0.011,0.1,Low Minute,Helper
1628467,Maxi Kleber,2026,LAL,PF,10.721,-2.503,-2.747,0.244,-0.008,Athletic Finisher,Mobile Big
1628502,Nigel Hayes-Davis,2026,PHO,SF,7.228,-2.83,-2.34,-0.49,-0.043,Movement Shooter,Helper
1628960,Grayson Allen,2026,PHO,SG,28.767,0.496,1.864,-1.368,2.718,Primary Ball Handler,Chaser
1628963,Marvin Bagley Iii,2026,WAS/DAL,PF,20.013,-0.231,0.27,-0.501,1.677,Roll + Cut Big,Mobile Big
1628964,Mo Bamba,2026,TOR/UTA,C,10.95,-0.714,-0.447,-0.267,0.048,Low Minute,Helper
1628969,Mikal Bridges,2026,NYK,SF,32.824,2.232,1.336,0.896,7.898,Movement Shooter,Point of Attack
1628970,Miles Bridges,2026,CHO,PF,31,0.843,0.948,-0.104,4.943,Shot Creator,Wing Stopper
1628971,Bruce Brown,2026,DEN,SG,24.361,-2.217,-1.82,-0.397,0.315,Stationary Shooter,Point of Attack
1628973,Jalen Brunson,2026,NYK,PG,34.993,2.077,3.528,-1.45,7.351,Shot Creator,Low Activity
1628975,Jevon Carter,2026,CHI/ORL,PG,16.366,-1.081,-0.442,-0.639,0.749,Movement Shooter,Chaser
1628976,Wendell Carter Jr.,2026,ORL,C,29.336,0.313,-1.013,1.326,3.977,Stretch Big,Mobile Big
1628978,Donte Divincenzo,2026,MIN,SG,30.413,0.556,0.196,0.359,4.714,Movement Shooter,Chaser
1628983,Shai Gilgeous-Alexander,2026,OKC,PG,33.218,6.661,5.763,0.898,12.453,Shot Creator,Low Activity
1628988,Aaron Holiday,2026,HOU,PG,13.695,-1.967,-1.185,-0.782,0.244,Secondary Ball Handler,Point of Attack
1628989,Kevin Huerter,2026,CHI/DET,SF,22.447,-0.019,0.286,-0.305,2.369,Movement Shooter,Chaser
1628991,Jaren Jackson Jr.,2026,MEM/UTA,C,30.302,0.197,-1.077,1.274,2.422,Shot Creator,Helper
1628997,Caleb Martin,2026,DAL,SF,14.758,-1.446,-2.301,0.855,0.544,Stationary Shooter,Wing Stopper
1628998,Cody Martin,2026,IND,SF,13.792,-0.869,-0.745,-0.123,0.055,Low Minute,Chaser
1629001,De'Anthony Melton,2026,GSW,PG,22.961,0.576,-0.189,0.764,2.141,Primary Ball Handler,Point of Attack
1629004,Svi Mykhailiuk,2026,UTA,SF,23.11,-1.752,-0.392,-1.36,0.515,Movement Shooter,Wing Stopper
1629006,Josh Okogie,2026,HOU,SG,17.352,-0.354,-1.011,0.657,1.786,Stationary Shooter,Wing Stopper
1629008,Michael Porter Jr.,2026,BRK,SF,32.47,0.665,2.319,-1.653,3.308,Off Screen Shooter,Helper
1629011,Mitchell Robinson,2026,NYK,C,19.571,2.234,0.646,1.588,3.447,Athletic Finisher,Mobile Big
1629012,Collin Sexton,2026,CHO/CHI,SG,23.721,-0.867,0.9,-1.767,1.61,Primary Ball Handler,Point of Attack
1629013,Landry Shamet,2026,NYK,SG,22.958,0.692,0.794,-0.102,2.314,Movement Shooter,Chaser
1629014,Anfernee Simons,2026,BOS/CHI,SG,24.941,0.027,0.892,-0.865,2.138,Shot Creator,Chaser
1629018,Gary Trent Jr.,2026,MIL,SG,21.188,-3.626,-1.636,-1.99,-0.963,Movement Shooter,Chaser
1629020,Jarred Vanderbilt,2026,LAL,PF,17.348,-0.941,-1.535,0.593,1.073,Stationary Shooter,Helper
1629021,Moritz Wagner,2026,ORL,C,11.848,-0.321,0.531,-0.852,0.572,Versatile Big,Mobile Big
1629023,P.J. Washington,2026,DAL,PF,30.992,-0.465,-0.98,0.515,2.169,Stationary Shooter,Wing Stopper
1629026,Kenrich Williams,2026,OKC,PF,15.268,-0.801,-0.728,-0.073,0.889,Stationary Shooter,Helper
1629027,Trae Young,2026,ATL/WAS,PG,25.582,0.928,2.227,-1.3,0.815,Primary Ball Handler,Chaser
1629028,Deandre Ayton,2026,LAL,C,27.198,-0.325,-0.986,0.66,2.619,Roll + Cut Big,Mobile Big
1629029,Luka Doncic,2026,LAL,PG,35.757,5.176,5.622,-0.446,10.733,Shot Creator,Helper
1629048,Goga Bitadze,2026,ORL,C,15.186,2.229,0.417,1.812,2.85,Roll + Cut Big,Mobile Big
1629057,Robert Williams Iii,2026,POR,C,17.086,1.861,-0.439,2.299,2.727,Roll + Cut Big,Anchor Big
1629060,Rui Hachimura,2026,LAL,PF,28.33,-2.237,-0.814,-1.423,0.281,Shot Creator,Helper
1629111,Jock Landale,2026,MEM/ATL,C,22.145,0.04,0.471,-0.431,2.36,Stretch Big,Mobile Big
1629130,Duncan Robinson,2026,DET,SF,27.438,1.096,1.241,-0.145,4.708,Off Screen Shooter,Low Activity
1629162,Jordan Mclaughlin,2026,SAS,PG,6.4,-1.652,-1.61,-0.042,0.143,Secondary Ball Handler,Point of Attack
1629216,Gabe Vincent,2026,LAL/ATL,PG,16.585,-2.914,-1.36,-1.554,-0.237,Movement Shooter,Point of Attack
1629234,Drew Eubanks,2026,SAC,C,13.148,-1.264,-2.175,0.912,0.414,Roll + Cut Big,Mobile Big
1629312,Haywood Highsmith,2026,PHO,SF,12.964,-0.437,-0.193,-0.243,0.115,Low Minute,Point of Attack
1629599,Amir Coffey,2026,MIL/PHO,SG,10.662,-2.146,-1.805,-0.341,0.099,Stationary Shooter,Helper
1629610,Daquan Jeffries,2026,SAC,SG,19.967,-0.478,-0.318,-0.16,0.074,Low Minute,Chaser
1629611,Terance Mann,2026,BRK,SG,24.269,-2.437,-1.733,-0.704,0.035,Primary Ball Handler,Point of Attack
1629614,Andrew Nembhard,2026,IND,PG,31.323,0.232,1.059,-0.827,3.012,Primary Ball Handler,Point of Attack
1629618,Jalen Pickett,2026,DEN,SG,16.129,-2.886,-1.512,-1.374,-0.203,Secondary Ball Handler,Chaser
1629622,Max Strus,2026,CLE,SF,24.024,-0.409,0.15,-0.559,0.37,Movement Shooter,Wing Stopper
1629627,Zion Williamson,2026,NOP,PF,29.693,0.439,1.746,-1.307,3.346,Shot Creator,Helper
1629628,Rj Barrett,2026,TOR,SF,30.275,1.195,1.229,-0.034,3.953,Movement Shooter,Helper
1629630,Ja Morant,2026,MEM,PG,28.423,1.478,1.706,-0.228,1.402,Shot Creator,Chaser
1629631,De'Andre Hunter,2026,CLE/SAC,SF,26.121,-0.754,-0.159,-0.595,1.256,Movement Shooter,Wing Stopper
1629632,Coby White,2026,CHI/CHO,SG,24.993,-0.163,1.645,-1.808,1.799,Shot Creator,Chaser
1629634,Brandon Clarke,2026,MEM,PF,10.217,-0.806,-0.555,-0.251,0.021,Low Minute,Mobile Big
1629636,Darius Garland,2026,CLE/LAC,PG,29.87,0.399,1.926,-1.527,2.409,Shot Creator,Chaser
1629637,Jaxson Hayes,2026,LAL,C,18.28,0.348,-0.042,0.39,2.123,Roll + Cut Big,Mobile Big
1629638,Nickeil Alexander-Walker,2026,ATL,SG,33.373,0.219,0.582,-0.362,4.371,Primary Ball Handler,Point of Attack
1629639,Tyler Herro,2026,MIA,SG,31.289,-0.468,0.664,-1.133,1.288,Shot Creator,Chaser
1629640,Keldon Johnson,2026,SAS,SF,23.309,0.471,1.14,-0.67,3.511,Movement Shooter,Helper
1629645,Kevin Porter Jr.,2026,MIL,PG,33.183,1.251,0.975,0.276,2.933,Shot Creator,Point of Attack
1629646,Charles Bassey,2026,MEM/PHI/BOS/GSW,C,11.746,-0.751,-0.321,-0.429,0.164,Post Scorer,Mobile Big
1629651,Nic Claxton,2026,BRK,C,27.831,-1.35,-0.915,-0.434,1.337,Roll + Cut Big,Mobile Big
1629652,Luguentz Dort,2026,OKC,SF,26.791,-0.815,-1.171,0.356,1.904,Stationary Shooter,Point of Attack
1629655,Daniel Gafford,2026,DAL,C,21.714,0.836,-0.871,1.706,2.467,Roll + Cut Big,Mobile Big
1629656,Quentin Grimes,2026,PHI,SG,29.408,-1.532,-0.421,-1.111,1.286,Movement Shooter,Chaser
1629660,Ty Jerome,2026,MEM,SG,22.578,3.047,4.326,-1.279,1.163,Shot Creator,Helper
1629661,Cameron Johnson,2026,DEN,SF,30.498,0.574,0.806,-0.231,3.133,Movement Shooter,Helper
1629673,Jordan Poole,2026,NOP,PG,23.927,-1.692,0.882,-2.574,0.451,Primary Ball Handler,Low Activity
1629674,Neemias Queta,2026,BOS,C,25.341,3.696,0.972,2.723,7.365,Roll + Cut Big,Anchor Big
1629675,Naz Reid,2026,MIN,C,26.067,1.086,-0.011,1.096,4.46,Movement Shooter,Helper
1629680,Matisse Thybulle,2026,POR,SG,15.987,0.783,-1.768,2.551,0.975,Movement Shooter,Chaser
1629684,Grant Williams,2026,CHO,PF,19.761,-0.117,-0.679,0.562,1.045,Movement Shooter,Wing Stopper
1629723,John Konchar,2026,MEM/UTA,SG,19.903,-0.096,-1.356,1.26,1.651,Stationary Shooter,Helper
1629726,Garrison Mathews,2026,IND,SG,13.069,-1.036,-1.2,0.164,0.175,Off Screen Shooter,Chaser
